State,County,County_FIPS
CA,Kings,6031
CA,Monterey,6053
CA,Yuba,6115
CA,Yuba,6115
FL,Collier,12021
FL,Hardee,12049
FL,Hendry,12051
FL,Hillsborough,12057
FL,Monroe,12087
NY,Bronx,36005
NY,Bronx,36005
NY,Kings,36047
NY,Kings,36047
NY,New York,36061
NC,Anson,37007
NC,Beaufort,37013
NC,Bertie,37015
NC,Bladen,37017
NC,Camden,37029
NC,Caswell,37033
NC,Chowan,37041
NC,Cleveland,37045
NC,Craven,37049
NC,Cumberland,37051
NC,Edgecombe,37065
NC,Franklin,37069
NC,Gaston,37071
NC,Gates,37073
NC,Granville,37077
NC,Greene,37079
NC,Guilford,37081
NC,Halifax,37083
NC,Harnett,37085
NC,Hertford,37091
NC,Hoke,37093
NC,Jackson,37099
NC,Lee,37105
NC,Lenoir,37107
NC,Martin,37117
NC,Nash,37127
NC,Northampton,37131
NC,Onslow,37133
NC,Pasquotank,37139
NC,Perquimans,37143
NC,Person,37145
NC,Pitt,37147
NC,Robeson,37155
NC,Rockingham,37157
NC,Scotland,37165
NC,Union,37179
NC,Vance,37181
NC,Washington,37187
NC,Wayne,37191
NC,Wilson,37195
SD,Shannon,46102
SD,Todd,46121
